id,Name,Country,Language,Population,Geography,Settlement Level,Settlement Type,Food Production,Fuel Production
121,Sklonov,Gormanistan,Stonish,633,Mountains,2,Village,0,1000000
122,Hudsonburg,Gormanistan,Stonish,6816,Forest,4,Large Town,2500000,1000000
123,Reerivka,Gormanistan,Stonish,3409,Forest,3,Town,2500000,1000000
124,Valgorod,Gormanistan,Stonish,1817,Forest,3,Town,2500000,1000000
125,Goropik,Gormanistan,Stonish,3422,Mountains,3,Town,0,1000000
126,Pechelov,Gormanistan,Stonish,7418,Forest,4,Large Town,2500000,1000000
127,Kanalstroy,Gormanistan,Stonish,4012,Forest,3,Town,2500000,1000000
128,Morov,Gormanistan,Stonish,4325,Forest,3,Town,2500000,1000000
129,Gormansk,Gormanistan,Stonish,8052,Forest,4,Large Town,2500000,1000000
130,Gardez,Gormanistan,Stonish,2424,Forest,3,Town,2500000,1000000
131,Ostgorod,Gormanistan,Stonish,48274,Forest,5,City,2500000,1000000
132,Segorod,Gormanistan,Stonish,12656,Forest,5,City,2500000,1000000
133,Schobakagrad (Husky Hill),United Republic of Stoneland,Stonish,40922,Forest,5,City,2500000,1000000
134,Rockville City,United Republic of Stoneland,Stonish,93745,Forest,6,Large City,2500000,1000000
135,Vanaheim,United Republic of Stoneland,Stonish,52518,Forest,6,Large City,2500000,1000000
136,Asgard,United Republic of Stoneland,English,29515,Plains,5,City,7500000,1000000
137,Alfheim,United Republic of Stoneland,English,6469,Plains,4,Large Town,7500000,1000000
138,Norkrajina,United Republic of Stoneland,Stonish,3089,Forest,3,Town,2500000,1000000
139,Normán,United Republic of Stoneland,Stonish,37276,Forest,5,City,2500000,1000000
140,Mosston,United Republic of Stoneland,Stonish,11429,Forest,5,City,2500000,1000000
141,Bytnov,United Republic of Stoneland,Stonish,108,Forest,1,Frontier,2500000,1000000
142,Vtakelgrad (Birdhaven),United Republic of Stoneland,Stonish,9534,Forest,4,Large Town,2500000,1000000
143,Ravenles,United Republic of Stoneland,Stonish,3487,Forest,3,Town,2500000,1000000
144,Jotunheim,United Republic of Stoneland,Stonish,6100,Forest,4,Large Town,2500000,1000000
145,Midgard,United Republic of Stoneland,English,38622,Plains,5,City,7500000,1000000
146,Jakoba,United Republic of Stoneland,English,9108,Forest,4,Large Town,2500000,1000000
147,Luka Bozh (Bodgeville),United Republic of Stoneland,English,66481,Forest,6,Large City,2500000,1000000
148,Volford,United Republic of Stoneland,Stonish,3304,Forest,3,Town,2500000,1000000
149,Luka Dauzh,United Republic of Stoneland,Stonish,30111,Forest,5,City,2500000,1000000
150,Ostkrajina,United Republic of Stoneland,Stonish,633,Forest,2,Village,2500000,1000000
151,Dandlikova,United Republic of Stoneland,Stonish,85,Bog,1,Frontier,0,75000000
152,Deusdern,United Republic of Stoneland,Stonish,8218,Bog,4,Large Town,0,75000000
153,Wassergrad,United Republic of Stoneland,Stonish,801,Forest,2,Village,2500000,1000000
154,Rousvat,United Republic of Stoneland,Stonish,4853,Forest,3,Town,2500000,1000000
155,Barongrad,United Republic of Stoneland,Stonish,6450,Forest,4,Large Town,2500000,1000000
156,Ristovyet,United Republic of Stoneland,Stonish,4500,Forest,3,Town,2500000,1000000
157,Madrislava,United Republic of Stoneland,Stonish,79422,Forest,6,Large City,2500000,1000000
158,Niflheim,United Republic of Stoneland,English,6360,Plains,4,Large Town,7500000,1000000
159,Helheim,United Republic of Stoneland,English,8419,Plains,4,Large Town,7500000,1000000
160,Nidavellir,United Republic of Stoneland,English,81716,Plains,6,Large City,7500000,1000000
161,Surluka,United Republic of Stoneland,Stonish,1470,Forest,3,Town,2500000,1000000
162,Olej,United Republic of Stoneland,Stonish,1084,Bog,3,Town,0,75000000
163,Kamaratov,United Republic of Stoneland,Stonish,875,Forest,2,Village,2500000,1000000
164,Novkoraíz,United Republic of Stoneland,Stonish,1056,Forest,3,Town,2500000,1000000
165,Cotongrad,United Republic of Stoneland,Stonish,9509,Forest,4,Large Town,2500000,1000000
166,Matson,United Republic of Stoneland,Stonish,4236,Forest,3,Town,2500000,1000000
167,Muspelheim,United Republic of Stoneland,English,2973,Plains,3,Town,7500000,1000000
168,Kaiser Krusche,United Republic of Stoneland,English,10234,Forest,5,City,2500000,1000000
169,Das Grospa,United Republic of Stoneland,English,5456,Forest,4,Large Town,2500000,1000000
170,South Bodgeville,United Republic of Stoneland,English,7420,Forest,4,Large Town,2500000,1000000
171,Kleinskograd,United Republic of Stoneland,Stonish,942,Forest,2,Village,2500000,1000000
172,San Echevarria,United Republic of Stoneland,Stonish,19118,Bog,5,City,0,75000000
173,Kohlpustagrad,United Republic of Stoneland,Stonish,949,Bog,2,Village,0,75000000
174,Borovicagrad,United Republic of Stoneland,Stonish,4995,Forest,3,Town,2500000,1000000
175,Krugpont,Eirikr,Stonish,6656,Forest,4,Large Town,2500000,1000000
176,Zielney,Eirikr,Stonish,27186,Forest,5,City,2500000,1000000
177,Seredsk,Eirikr,Stonish,704,Forest,2,Village,2500000,1000000
178,Kasongrad,Eirikr,Stonish,479,Forest,1,Frontier,2500000,1000000
179,Epsilongrad,Eirikr,Stonish,612,Forest,2,Village,2500000,1000000
180,Betagrad,Eirikr,Stonish,1497,Forest,3,Town,2500000,1000000
181,Surkasongrad,Eirikr,Stonish,579,Forest,2,Village,2500000,1000000
182,Neystadt,Eirikr,Stonish,4401,Forest,3,Town,2500000,1000000
183,Gorvik,Eirikr,Stonish,37275,Mountains,5,City,0,1000000
184,Gammagrad,Eirikr,Stonish,5349,Forest,4,Large Town,2500000,1000000
185,Novgrad,Eirikr,Stonish,104,Mountains,1,Frontier,0,1000000
186,Epsilon,Eirikr,Stonish,2924,Forest,3,Town,2500000,1000000
187,Novpetrograd,Eirikr,Stonish,204,Forest,1,Frontier,2500000,1000000
188,Zetagrad,Eirikr,Stonish,10094,Forest,5,City,2500000,1000000
189,Tartagrad,Eirikr,Stonish,473,Forest,1,Frontier,2500000,1000000
190,Etagrad,Eirikr,Stonish,3683,Forest,3,Town,2500000,1000000
191,Phigorod,Eirikr,Stonish,559,Mountains,2,Village,0,1000000
192,Thetagrad,Eirikr,Stonish,8102,Mountains,4,Large Town,0,1000000
193,Chigorod,Eirikr,Stonish,806,Plains,2,Village,7500000,1000000
194,Iotagrad,Eirikr,Stonish,51870,Plains,6,Large City,7500000,1000000
195,Kappagrad,Eirikr,Stonish,9972,Plains,4,Large Town,7500000,1000000
196,Alphagrad,Eirikr,Stonish,36182,Plains,5,City,7500000,1000000
197,Cartagrad,Eirikr,Stonish,309,Bog,1,Frontier,0,75000000
198,Besplosia,Eirikr,Stonish,863,Bog,2,Village,0,75000000
199,Vahallagrad,Eirikr,Stonish,425,Forest,1,Frontier,2500000,1000000
200,Psigorod,Eirikr,Stonish,1035,Forest,2,Village,2500000,1000000
201,Felipigrad,Eirikr,Stonish,229,Forest,1,Frontier,2500000,1000000
202,Sigmagrad,Eirikr,Stonish,83227,Forest,6,Large City,2500000,1000000
203,Lamdagrad,Eirikr,Stonish,2387,Forest,3,Town,2500000,1000000
204,Valashka,Eirikr,Stonish,333,Mountains,1,Frontier,0,1000000
205,Mugorod,Eirikr,Stonish,1389,Mountains,3,Town,0,1000000
206,Santorigrad,Eirikr,Stonish,469,Plains,1,Frontier,7500000,1000000
207,Nugorod,Eirikr,Stonish,990,Mountains,2,Village,0,1000000
208,Hohol,Eirikr,Stonish,203,Plains,1,Frontier,7500000,1000000
209,Koringrad,Eirikr,Stonish,1034,Plains,2,Village,7500000,1000000
210,Yesaul,Eirikr,Stonish,708,Plains,2,Village,7500000,1000000
211,Spartagrad,Eirikr,Stonish,774,Plains,2,Village,7500000,1000000
212,Attagard,Eirikr,Stonish,149,Bog,1,Frontier,0,75000000
213,Bysantigrad,Eirikr,Stonish,669,Forest,2,Village,2500000,1000000
214,Xigorod,Eirikr,Stonish,2266,Forest,3,Town,2500000,1000000
215,Cretegrad,Eirikr,Stonish,367,Forest,1,Frontier,2500000,1000000
216,Omicron,Eirikr,Stonish,2443,Forest,3,Town,2500000,1000000
217,Omegagrad,Eirikr,Stonish,7255,Forest,4,Large Town,2500000,1000000
218,Thessalonikigrad,Eirikr,Stonish,860,Forest,2,Village,2500000,1000000
219,Atengrad,Eirikr,Stonish,1090,Forest,2,Village,2500000,1000000
220,Thebgrad,Eirikr,Stonish,1085,Forest,2,Village,2500000,1000000
221,Surpont,Eirikr,Stonish,444,Forest,1,Frontier,2500000,1000000
222,Pigorod,Eirikr,Stonish,1734,Mountains,3,Town,0,1000000
223,Rhograd,Eirikr,Stonish,4138,Mountains,3,Town,0,1000000
224,Suryesaul,Eirikr,Stonish,873,Plains,2,Village,7500000,1000000
225,Taugorod,Eirikr,Stonish,4187,Bog,3,Town,0,75000000
226,Omnissigrad (Омнысиграл),Ostesia,English,8716,Forest,4,Large Town,2500000,2000000
227,Stygigrad (Стайгиград),Ostesia,English,1095,Forest,2,Village,2500000,2000000
228,Ryzagrad (Райзаград),Ostesia,English,51904,Forest,6,Large City,2500000,2000000
229,Lucigrad (Луcиград),Ostesia,English,1106,Forest,3,Town,2500000,2000000
230,Agripigrad (Агрыпиград),Ostesia,English,1263,Forest,3,Town,2500000,2000000
231,Metaligrad (Металиград),Ostesia,English,1184,Forest,3,Town,2500000,2000000
232,Graiagrad (Граяград),Ostesia,English,12320,Forest,5,City,2500000,2000000
233,Martiagrad (Мартаград),Ostesia,English,1182,Forest,3,Town,2500000,2000000
234,Macragrad,Ostesia,English,5949,Forest,4,Large Town,2500000,2000000
235,Hydragrad,Ostesia,English,792,Forest,2,Village,2500000,2000000
236,Cypragrad,Ostesia,English,7593,Forest,4,Large Town,2500000,2000000
237,Bakkagrad,Ostesia,English,2746,Forest,3,Town,2500000,2000000
238,San Medina,United Republic of Stoneland,Stonish,7310,Forest,4,Large Town,2500000,1000000
239,DD 4,Eirikr,English,616,Forest,2,Village,2500000,1000000
240,DD 5,Eirikr,English,29594,Forest,5,City,2500000,1000000
241,DD 6,Eirikr,English,597,Forest,2,Village,2500000,1000000
242,DD 7,Eirikr,English,7973,Bog,4,Large Town,0,75000000
243,DD 8,Eirikr,English,394,Bog,1,Frontier,0,75000000
244,DD 10,Eirikr,English,2370,Bog,3,Town,0,75000000
245,Gloria,Fama and Fortuna,English,899,Bog,2,Village,0,75000000
246,Terragrad,Ostesia,English,4013,Forest,3,Town,2500000,2000000
247,Armagrad,Ostesia,English,10145,Forest,5,City,2500000,2000000
248,Duniagrad,Ostesia,English,2396,Forest,3,Town,2500000,2000000
249,Beligrad,Ostesia,English,6723,Forest,4,Large Town,2500000,2000000
250,DD 9,Eirikr,English,6813,Bog,4,Large Town,0,75000000
251,Destinia,Fama and Fortuna,English,79690,Bog,6,Large City,0,75000000
252,Providencia,Fama and Fortuna,English,7576,Bog,4,Large Town,0,75000000
253,Fama,Fama and Fortuna,English,149590,Forest,7,Metropolis,2500000,12000000
254,Fortuna,Fama and Fortuna,English,70177,Forest,6,Large City,2500000,9500000
